纬度,经度,店名,类型,其他1,其他2,其他3
30.5319973,114.3481437,咖啡剧场,cafe,,,
30.5318897,114.3485421,食客准备着,restaurant,,,
30.5310378,114.3483103,襄阳牛肉面,restaurant,,,
30.5311066,114.348334,沙县小吃,restaurant,,,
30.5311774,114.3483584,农家菜馆吊子煨汤,restaurant,,,
30.5308639,114.3481331,大米先生,restaurant,,,
30.5235211,114.3591209,漫咖啡,cafe,,,
30.523572,114.3586417,鹿鸣小院,restaurant,,,
30.5212175,114.3637976,天兴隆便利店,,convenience,,
30.521301,114.3636164,勿忘我川菜馆,restaurant,,,
30.5209777,114.3636848,湾滋味农家菜,restaurant,,,
30.5198319,114.361331,桂苑餐厅,restaurant,,,
30.5159859,114.3642095,麦当劳,fast_food,,,
30.5158619,114.3642621,茶百道,cafe,,,
30.5236347,114.3521527,肯德基,fast_food,,,
30.5240165,114.3521623,Treats Coffee,cafe,,,
30.5236332,114.3519492,7-Eleven,,convenience,,
30.5331366,114.3357195,宝通寺素菜馆,restaurant,,,
30.5506709,114.3481607,老门茶馆,cafe,,,
30.5500185,114.3476992,双湖观澜,restaurant,,,
30.5564297,114.3443893,珈园食堂,restaurant,,,
30.5564013,114.3445498,小肆川,restaurant,,,
30.5561537,114.3465382,中南营养餐厅,restaurant,,,
30.5560737,114.3466516,中百罗森,,convenience,,
30.5562409,114.3466424,喜茶,cafe,,,
30.5313996,114.3590072,轩王烧烤大排档,restaurant,,,
30.5315787,114.3590042,川香碳锅鱼,restaurant,,,
30.5313532,114.3593875,徐氏牛杂馆,restaurant,,,
30.5579084,114.3517166,瑞幸咖啡,cafe,,,
30.5578184,114.3517153,自强超市,,supermarket,,
30.5572346,114.3452174,老卫生厅食堂,restaurant,,,
30.5557904,114.3407568,奈雪的茶,cafe,,,
30.5562112,114.3405643,稻香,restaurant,,,
30.5560045,114.3405033,孟潼翊饭店,restaurant,,,
30.5549236,114.341828,和日式料理,restaurant,,,
30.5547516,114.3417323,美食汇自助餐厅,restaurant,,,
30.5547714,114.342263,典珍,restaurant,,,
30.5545818,114.3416469,游宴一品,restaurant,,,
30.5539778,114.3420859,茶颜悦色,cafe,,,
30.5565133,114.3429002,家常炒菜馆煨汤,restaurant,,,
30.5567056,114.3430622,八英尺咖啡,cafe,,,
30.5567718,114.3431179,悦来家常菜馆,restaurant,,,
30.5564228,114.3398047,曼谷五巷,restaurant,,,
30.5562203,114.3401166,山清白丁稻草烤肉,restaurant,,,
30.5571594,114.3386699,瑞幸咖啡,cafe,,,
30.5565074,114.3396743,Dairy Queen,fast_food,,,
30.5568146,114.339201,大米先生,restaurant,,,
30.5574594,114.3389323,茶颜悦色,cafe,,,
30.5572499,114.3385304,黑猪·济洲烤肉,restaurant,,,
30.5568863,114.3390905,小女当家,restaurant,,,
30.5567344,114.3393245,来菜,restaurant,,,
